produto,preco,data_hora,posicao,asin
Apple iPhone 16 Pro (128 GB) – Titânio preto,7649.1,2025-09-13 17:48:22,1,B0DGMH7J54
Apple iPhone 13 (128 GB) - Meia-noite,3239.1,2025-09-13 17:48:22,2,B09T55NFSR
Apple iPhone 16 (128 GB) – Preto,4650.06,2025-09-13 17:48:22,3,B0DJFTJ6LX
Apple iPhone 16 Pro Max (256 GB) – Titânio-deserto,8549.1,2025-09-13 17:48:22,4,B0DGMCHV9X
"Smartphone Motorola Moto g05-128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Cinza",566.08,2025-09-13 17:48:22,5,B0DQRHP79Z
"Smartphone Samsung Galaxy A06 128GB, 4GB RAM, Processador Octa-Core, Bateria de 5000mAh, Tela Infinita de 6.7"", Câmera Traseira Dupla, Dual Chip - Branco",599.0,2025-09-13 17:48:22,6,B0DGHZBC6N
Smartphone Xiaomi Poco C75 NFC Black (Preto) 8GB RAM 256GB ROM [2410FPCC5G],807.0,2025-09-13 17:48:22,7,B0DL4831YZ
Smartphone Xiaomi Redmi Note 14 Midnight Black (Preto) 8GB RAM 256GB ROM,1050.8,2025-09-13 17:48:22,8,B0DT5LHPMX
"Smartphone Samsung Galaxy A05s 6,7 Tela Infinita 128GB + 6GB RAM Tela Infinita de 6.7"" 50MP + 2MP + 2MP, Processador Octa-Core, Bateria de longa duração - Prata",699.0,2025-09-13 17:48:22,9,B0DDTZC5NW
"Smartphone Motorola Moto g15-256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI e Night Vision Bateria de 5200 mAh Tela FHD+ 6.7"" com Superbrilho NFC - Verde",775.65,2025-09-13 17:48:22,10,B0DQQCNBRR
Smartphone Samsung Galaxy A15 4G 128GB - Azul Claro,799.0,2025-09-13 17:48:22,11,B0CRWQKMND
"Samsung Celular Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7"", NFC (Preto)",1499.0,2025-09-13 17:48:22,12,B0F29YZ3MF
"Smartphone Motorola Moto g35 5G - 128GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Verde",825.55,2025-09-13 17:48:22,13,B0DHWFBYVC
"Smartphone Realme Note 60x RMX3938 3 GB de RAM/ 64 GB/Bateria de 5000mAh e tela de 6,74"" 90Hz HD/Midnight Black (Preto)",549.0,2025-09-13 17:48:22,14,B0DXL3NSCQ
"Celular Samsung Galaxy A16, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh - Preto",1145.0,2025-09-13 17:48:22,15,B0DNRDH5KJ
"Samsung Celular Galaxy A05s 128GB, 6GB RAM, Tela Infinita de 6.7"" - Preto",653.6,2025-09-13 17:48:22,16,B0D47QT9TJ
"Smartphone Xiaomi Redmi A5 128GB 4GB RAM Dual SIM Tela 6.88"" - Preto Midnight Black [25028RN03L]",608.89,2025-09-13 17:48:22,17,B0F3J3V6KX
"Smartphone Motorola Moto g35 5G - 256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Cinza Vegan Leather",999.0,2025-09-13 17:48:22,18,B0DHWF5G76
Smartphone Redmi 14C 8GB RAM 256GB ROM Midnight Black (Preto),749.0,2025-09-13 17:48:22,19,B0DJ9X3XBX
"Xiaomi Smartphone POCO M7 Pro 5G 256GB | 8GB/12GB RAM | Processador Ultra Potente Dimensity 7025 | Tela AMOLED FHD+ 120Hz com Proteção Ocular | Bateria 5110mAh com 45W Turbo Charge (Verde, 8+256GB)",1206.1,2025-09-13 17:48:22,20,B0F3JHM2FQ
