produto,preco,data_hora,posicao,asin
"Notebook Gamer Alienware Aurora AC16-C5210H-D10 - Intel Core 5, NVIDIA RTX 3050, 16GB RAM, 512GB SSD, LED Full HD 120Hz, Linux",5849.0,2025-09-13 17:48:22,1,B0FPHKN1JL
"Notebook HP G9 Intel Core i3 13 Geração - 8GB RAM SSD 256GB 15,6"" Windows 11 AN1A2LA#AK4 - Home 64 SL-SSD 256-15.6 HD-1/1/0 Warranty",2516.55,2025-09-13 17:48:22,2,B0DP3DM5YK
"Mouse sem fio Logitech M170 com Design Ambidestro Compacto, Conexão USB e Pilha Inclusa - Preto",59.89,2025-09-13 17:48:22,3,B074L9L5KZ
"Notebook Lenovo LOQ-e 15IAX9E Intel Core i5-12450HX 16GB 512GB SSD RTX 3050 Windows 11 15.6"" - 83ME0007BR Luna Grey",4654.05,2025-09-13 17:48:22,4,B0DSXN1XBL
"Notebook ASUS Vivobook GO 15, Intel Celeron Dual Core N4500, 4 GB, 128 GB SSD W11 Home, 15,60"" LED, Star Black - E510KA-BR808WS",1661.56,2025-09-13 17:48:22,5,B0DD64K4MP
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 512GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ732",2464.15,2025-09-13 17:48:22,6,B0CYW2N6TX
"Notebook ASUS Vivobook GO 15, Intel Celeron Dual Core N4500, 4 GB, 128 GB SSD, W11 Home, 15,60"" LED, Rose Pink - E510KA-BR833WS",1661.56,2025-09-13 17:48:22,7,B0DD64JXK1
"Notebook Lenovo IdeaPad 1i Intel Celeron + Microsoft 365 Personal 4GB 128GB SSD W11 15.6"" 82QH0007BR",1804.05,2025-09-13 17:48:22,8,B0DGHKY4LJ
"Notebook Dell Inspiron I15-I120K-A15P 15.6"" Full HD 12ª Geração Intel Core i3 8GB 512GB SSD Windows 11 Preto",2999.0,2025-09-13 17:48:22,9,B0DCLBBWLV
"Notebook ASUS Vivobook 15, Intel Core i5, 16 GB, 512 GB SSD W11 Home, 15.6'' FHD, Quiet Blue -X1504VA-NJ1745W",3183.59,2025-09-13 17:48:22,10,B0F4M66XWL
"Notebook Dell Inspiron I15-I120K-A25P 15.6"" Full HD 12ª Geração Intel Core i5 8GB 512GB SSD Windows 11 Preto",3033.0,2025-09-13 17:48:22,11,B0DCKWYRQ6
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 256GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ731",2379.15,2025-09-13 17:48:22,12,B0CYVVRSSZ
"Notebook Lenovo Ultrafino IdeaPad 1 Intel Core i3-1215U 8GB 256GB SSD Windows Home 15.6"" 82VY000SBR Cloud Grey",2454.27,2025-09-13 17:48:22,13,B0CM8LZFXB
"Notebook Lenovo Ideapad 1i Intel Core i5-1235U 8GB 512GB SSD 15.6"" W11",2999.0,2025-09-13 17:48:22,14,B0CK3R8JYG
"Notebook Positivo Duo 2 em 1 Intel Celeron Windows 11 Home 4GB 128GB, Tela 11.6"" IPS HD, Cinza - C4128B-3",1348.99,2025-09-13 17:48:22,15,B0BZ8Y9QV9
"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 4GB, 128GB SSD, W11 Home, Tela 15.6"" FHD Cool Silver - E1504GA-NJ440W",2169.0,2025-09-13 17:48:22,16,B0CYVJHL3N
"Notebook Lenovo IdeaPad 1i i5-1235U 8GB 256GB 15.6"" W11",2999.0,2025-09-13 17:48:22,17,B0DCLZRN7W
"Notebook, Windows 11 Home, Tela 15,6 Pol HD, Celeron N4020C, Memória 4GB/128GB, Microsoft 365, Ultra - UB261",1328.1,2025-09-13 17:48:22,18,B0CV4J2JS3
Notebook Acer Aspire5 A515-45-R36L AMD Ryzen7 5700U 12GB RAM (AMD Radeon) 512GB SSD 15.6” LED IPS Full HD Prata Teclado numérico Independente Linux Gutta,3099.0,2025-09-13 17:48:22,19,B0B8YW587B
"Notebook HP 256R G9 Intel Core i3 1315U 13º Geração. Memória RAM 8GB. SSD 256GB. Tela de 15,6"" LCD. Windows 11 - Home SL - Cinza Escuro. Bivolt. (BQ9K8AT#AK4)",2384.1,2025-09-13 17:48:22,20,B0F63YHGGR
