produto,preco,data_hora,posicao,asin
"Volante e Pedais Logitech G29 Driving Force com Force Feedback para PS5, PS4, PS3 e PC",1799.89,2025-09-14 16:43:51,1,B017RBNOI4
"Volante Logitech G923 para PS5, PS4 e PC com Force Feedback TRUEFORCE, Pedais Responsivos, Launch Control e Acabamento em Couro",2627.71,2025-09-14 16:43:51,2,B08F7DBTRX
Controle de Jogos com fio Logitech F310 para PC e TV,170.91,2025-09-14 16:43:51,3,B003VAHYQY
"Volante Logitech G923 para Xbox Series X|S, Xbox One e PC com Force Feedback TRUEFORCE, Pedais Responsivos, Launch Control e Acabamento em Couro",2656.62,2025-09-14 16:43:51,4,B08F7FKQ8P
Mini Console Retro Super Nintendo com 130 mil jogos + 2 Controles Super 3D Games,299.0,2025-09-14 16:43:51,5,B0B59YX7JJ
"Console de jogos portátil retrô, console de videogame R36S com 15.000+ jogos, sistema Linux, tela IPS de 3,5 polegadas, reprodutor de vídeo de bolso com cartão TF 64GB - Preto",214.8,2025-09-14 16:43:51,6,B0CS1RGW47
"Nintendo, Console + Jogo, Switch OLED Branco, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online",2252.06,2025-09-14 16:43:51,7,B0D9WTRLTB
PlayStation®5 Slim Digital -Pacote ASTRO BOT e Gran Turismo 7,3633.08,2025-09-14 16:43:51,8,B0F7Z9F9SD
"Nintendo, Console + Jogo, Switch Azul e Vermelho, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online",1999.0,2025-09-14 16:43:51,9,B09NK8J76T
"Nintendo, Console, Nintendo Switch Lite, Portátil, Tela de 5,5 Polegadas, Leve e Compacto, 32GB de Armazenamento, Controles Embutidos, Bateria de até 7 horas, Compatível com Jogos do Nintendo Switch, Azul",1319.9,2025-09-14 16:43:51,10,B09JWLJMNR
Mini Console Retro Gamer Super Nintendo com 130 mil Jogos Mais 2 Controles Super 3D Games,262.0,2025-09-14 16:43:51,11,B0DH9MSF35
"Console de Jogos Portátil X7 Plus + de 1.000 Jogos + Fone de ouvido Cartão de Memória 8GB Console de Video Game Portátil de 5,1 polegadas - YODHE",173.99,2025-09-14 16:43:51,12,B0D8VLMQWR
Console Xbox Series S,3040.0,2025-09-14 16:43:51,13,B08JN2VMGX
"Neo Geo Mini Arcade Game Console, 4.3-inch Display, Joystick and Buttons",592.14,2025-09-14 16:43:51,14,B0DRHYR931
"Console Retrô PSX com 93 mil jogos + 2 Controles diversos Games e Jogos + 700 Jogos PS1 (Black, Controles com fio)",269.91,2025-09-14 16:43:51,15,B0D2JHHYWD
Mini Console Retro Super 3D Games com 130 mil jogos + 2 Controles - Super 3D Games,289.0,2025-09-14 16:43:51,16,B0B5B3CBRS
Console Playstatiton 4 1tb Slim + Controle Dualshock 4 CUH2214B - Sony,,2025-09-14 16:43:51,17,B07ZGH5CBL
"R36S Console de Jogos Portátil Retrô, Tela 3,5 Polegadas, 64GB de Memória",225.5,2025-09-14 16:43:51,18,B0FF3GSH2C
Console Retrô PSX com 40 mil jogos + 2 Controles diversos Games e Jogos+ 700 Jogos PS1 - Black (Black),299.9,2025-09-14 16:43:51,19,B0DT4WSCMJ
"Console de jogos portátil retrô, console de videogame R36S de código aberto, sistema Linux, tela IPS de 3,5 polegadas, reprodutor de vídeo de bolso portátil com cartão TF 64G / 128G / 316 ( Color : Pu",247.9,2025-09-14 16:43:51,20,B0CS219K4V
